video_id,conjugate,event1_clip,event2_clip,caption,distractor_caption,sim_positive,sim_negative,correct
BVX8X,before,BVX8X_1.9_15.9.mp4,BVX8X_17.1_22.4.mp4,holding a phone/camera before someone is eating something,someone is eating something before holding a phone/camera,0.36031365394592285,0.3461197316646576,True
BVX8X,after,BVX8X_1.9_15.9.mp4,BVX8X_17.1_22.4.mp4,someone is eating something after holding a phone/camera,holding a phone/camera after someone is eating something,0.33485379815101624,0.3356529474258423,False
ZC017,before,ZC017_0.0_9.3.mp4,ZC017_10.2_18.8.mp4,sitting on sofa/couch before tidying up a table,tidying up a table before sitting on sofa/couch,0.4624626636505127,0.471504271030426,False
ZC017,after,ZC017_0.0_9.3.mp4,ZC017_10.2_18.8.mp4,tidying up a table after sitting on sofa/couch,sitting on sofa/couch after tidying up a table,0.49135157465934753,0.4593241214752197,True
G3OUM,before,G3OUM_3.4_17.7.mp4,G3OUM_18.7_23.1.mp4,someone is cooking something before taking a broom from somewhere,taking a broom from somewhere before someone is cooking something,0.5857117176055908,0.6037216186523438,False
G3OUM,after,G3OUM_3.4_17.7.mp4,G3OUM_18.7_23.1.mp4,taking a broom from somewhere after someone is cooking something,someone is cooking something after taking a broom from somewhere,0.6057239770889282,0.6111838817596436,False
IAHN3,before,IAHN3_1.0_8.9.mp4,IAHN3_9.2_30.3.mp4,someone is smiling before holding a phone/camera,holding a phone/camera before someone is smiling,0.46739718317985535,0.5143591165542603,False
IAHN3,after,IAHN3_1.0_8.9.mp4,IAHN3_9.2_30.3.mp4,holding a phone/camera after someone is smiling,someone is smiling after holding a phone/camera,0.5057958960533142,0.46707743406295776,True
C4E9X,before,C4E9X_0.0_11.1.mp4,C4E9X_13.5_21.5.mp4,pouring something into a cup/glass/bottle before putting a cup/glass/bottle somewhere,putting a cup/glass/bottle somewhere before pouring something into a cup/glass/bottle,0.5320358872413635,0.44835036993026733,True
C4E9X,after,C4E9X_0.0_11.1.mp4,C4E9X_13.5_21.5.mp4,putting a cup/glass/bottle somewhere after pouring something into a cup/glass/bottle,pouring something into a cup/glass/bottle after putting a cup/glass/bottle somewhere,0.46590742468833923,0.5371139645576477,False
FM078,before,FM078_0.2_12.4.mp4,FM078_12.7_19.8.mp4,tidying up a table before opening a closet/cabinet,opening a closet/cabinet before tidying up a table,0.48654353618621826,0.48356807231903076,True
FM078,after,FM078_0.2_12.4.mp4,FM078_12.7_19.8.mp4,opening a closet/cabinet after tidying up a table,tidying up a table after opening a closet/cabinet,0.4922829866409302,0.5121943354606628,False
EP19T,before,EP19T_3.5_8.7.mp4,EP19T_14.2_26.3.mp4,walking through a doorway before taking a picture of something,taking a picture of something before walking through a doorway,0.4964039921760559,0.49324625730514526,True
EP19T,after,EP19T_3.5_8.7.mp4,EP19T_14.2_26.3.mp4,taking a picture of something after walking through a doorway,walking through a doorway after taking a picture of something,0.49785447120666504,0.5299543738365173,False
MLBTH,before,MLBTH_0.0_8.0.mp4,MLBTH_9.5_15.6.mp4,opening a laptop before taking food from somewhere,taking food from somewhere before opening a laptop,0.5560600757598877,0.5347720980644226,True
MLBTH,after,MLBTH_0.0_8.0.mp4,MLBTH_9.5_15.6.mp4,taking food from somewhere after opening a laptop,opening a laptop after taking food from somewhere,0.5497862100601196,0.5670580863952637,False
8SAEO,before,8SAEO_0.0_4.7.mp4,8SAEO_18.6_27.6.mp4,watching something/someone/themselves in a mirror before someone is dressing,someone is dressing before watching something/someone/themselves in a mirror,0.429710328578949,0.5010279417037964,False
8SAEO,after,8SAEO_0.0_4.7.mp4,8SAEO_18.6_27.6.mp4,someone is dressing after watching something/someone/themselves in a mirror,watching something/someone/themselves in a mirror after someone is dressing,0.5342954993247986,0.4271939992904663,True
LSH63,before,LSH63_2.7_8.0.mp4,LSH63_10.0_16.9.mp4,walking through a doorway before putting a bag somewhere,putting a bag somewhere before walking through a doorway,0.5261818170547485,0.5167938470840454,True
LSH63,after,LSH63_2.7_8.0.mp4,LSH63_10.0_16.9.mp4,putting a bag somewhere after walking through a doorway,walking through a doorway after putting a bag somewhere,0.5112287402153015,0.5509068965911865,False
QIT2W,before,QIT2W_0.0_14.1.mp4,QIT2W_17.5_25.4.mp4,working/playing on a laptop before putting some food somewhere,putting some food somewhere before working/playing on a laptop,0.54114830493927,0.5132061243057251,True
QIT2W,after,QIT2W_0.0_14.1.mp4,QIT2W_17.5_25.4.mp4,putting some food somewhere after working/playing on a laptop,working/playing on a laptop after putting some food somewhere,0.5187743902206421,0.5455061197280884,False
5B4HF,before,5B4HF_0.0_10.5.mp4,5B4HF_13.0_18.3.mp4,drinking from a cup/glass/bottle before putting something on a shelf,putting something on a shelf before drinking from a cup/glass/bottle,0.5485823154449463,0.4866501986980438,True
5B4HF,after,5B4HF_0.0_10.5.mp4,5B4HF_13.0_18.3.mp4,putting something on a shelf after drinking from a cup/glass/bottle,drinking from a cup/glass/bottle after putting something on a shelf,0.5102935433387756,0.5530486106872559,False
QEFFJ,before,QEFFJ_0.0_15.1.mp4,QEFFJ_20.7_27.0.mp4,holding a mirror before someone is standing up from somewhere,someone is standing up from somewhere before holding a mirror,0.46352195739746094,0.45792946219444275,True
QEFFJ,after,QEFFJ_0.0_15.1.mp4,QEFFJ_20.7_27.0.mp4,someone is standing up from somewhere after holding a mirror,holding a mirror after someone is standing up from somewhere,0.44817402958869934,0.4697985351085663,False
VAIVN,before,VAIVN_0.0_10.5.mp4,VAIVN_10.8_24.8.mp4,watching/reading/looking at a book before snuggling with a blanket,snuggling with a blanket before watching/reading/looking at a book,0.5487406849861145,0.5311685800552368,True
VAIVN,after,VAIVN_0.0_10.5.mp4,VAIVN_10.8_24.8.mp4,snuggling with a blanket after watching/reading/looking at a book,watching/reading/looking at a book after snuggling with a blanket,0.5561132431030273,0.541283369064331,True
3H1EA,before,3H1EA_0.0_6.3.mp4,3H1EA_7.1_13.3.mp4,watching/reading/looking at a book before taking a cup/glass/bottle from somewhere,taking a cup/glass/bottle from somewhere before watching/reading/looking at a book,0.4753826856613159,0.4595523774623871,True
3H1EA,after,3H1EA_0.0_6.3.mp4,3H1EA_7.1_13.3.mp4,taking a cup/glass/bottle from somewhere after watching/reading/looking at a book,watching/reading/looking at a book after taking a cup/glass/bottle from somewhere,0.44029539823532104,0.4687897562980652,False
AOBWQ,before,AOBWQ_0.5_19.8.mp4,AOBWQ_22.7_30.3.mp4,taking some clothes from somewhere before throwing clothes somewhere,throwing clothes somewhere before taking some clothes from somewhere,0.5194674730300903,0.541936993598938,False
AOBWQ,after,AOBWQ_0.5_19.8.mp4,AOBWQ_22.7_30.3.mp4,throwing clothes somewhere after taking some clothes from somewhere,taking some clothes from somewhere after throwing clothes somewhere,0.5089006423950195,0.5053530335426331,True
SQKE4,before,SQKE4_0.0_9.5.mp4,SQKE4_9.7_23.2.mp4,holding a cup/glass/bottle of something before tidying up with a broom,tidying up with a broom before holding a cup/glass/bottle of something,0.6328737735748291,0.646173894405365,False
SQKE4,after,SQKE4_0.0_9.5.mp4,SQKE4_9.7_23.2.mp4,tidying up with a broom after holding a cup/glass/bottle of something,holding a cup/glass/bottle of something after tidying up with a broom,0.6329513788223267,0.617784857749939,True
7H7PN,before,7H7PN_0.0_5.2.mp4,7H7PN_8.4_29.0.mp4,opening a bag before holding some clothes,holding some clothes before opening a bag,0.43171006441116333,0.4107264280319214,True
7H7PN,after,7H7PN_0.0_5.2.mp4,7H7PN_8.4_29.0.mp4,holding some clothes after opening a bag,opening a bag after holding some clothes,0.4124448895454407,0.4208715856075287,False
AVSPS,before,AVSPS_0.0_28.9.mp4,AVSPS_29.0_34.3.mp4,holding some food before holding a broom,holding a broom before holding some food,0.5045005083084106,0.5152841806411743,False
AVSPS,after,AVSPS_0.0_28.9.mp4,AVSPS_29.0_34.3.mp4,holding a broom after holding some food,holding some food after holding a broom,0.5329268574714661,0.5165007710456848,True
D8BTU,before,D8BTU_3.6_9.4.mp4,D8BTU_10.5_20.7.mp4,someone is going from standing to sitting before tidying up a closet/cabinet,tidying up a closet/cabinet before someone is going from standing to sitting,0.5434705018997192,0.5167734622955322,True
D8BTU,after,D8BTU_3.6_9.4.mp4,D8BTU_10.5_20.7.mp4,tidying up a closet/cabinet after someone is going from standing to sitting,someone is going from standing to sitting after tidying up a closet/cabinet,0.5327185392379761,0.5563762784004211,False
RJDH2,before,RJDH2_0.0_16.8.mp4,RJDH2_17.0_26.6.mp4,sitting at a table before throwing a pillow somewhere,throwing a pillow somewhere before sitting at a table,0.4065869450569153,0.4562363624572754,False
RJDH2,after,RJDH2_0.0_16.8.mp4,RJDH2_17.0_26.6.mp4,throwing a pillow somewhere after sitting at a table,sitting at a table after throwing a pillow somewhere,0.4453773498535156,0.41848284006118774,True
5SGU6,before,5SGU6_0.0_4.9.mp4,5SGU6_6.0_11.0.mp4,holding a bag before putting something on a shelf,putting something on a shelf before holding a bag,0.5327813625335693,0.5188830494880676,True
5SGU6,after,5SGU6_0.0_4.9.mp4,5SGU6_6.0_11.0.mp4,putting something on a shelf after holding a bag,holding a bag after putting something on a shelf,0.5450093746185303,0.527651309967041,True
