a_pred,a_true,question,demonstration_type,variation,motion_type,answer,note,key,options,video_source_url,question_formatted,answer_formatted,video_name
D,C,What is the pattern of the person's hand's rotation speed?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,2,Eason rotating hand with accelerating speed,0215-08,['Decelerating.' 'Constant speed.' 'Accelerating.' 'Not moving at all.'],,"What is the pattern of the person's hand's rotation speed?
Options: 
A: Decelerating.
B: Constant speed.
C: Accelerating.
D: Not moving at all. 
Pick the best suited option.",C,videos/human/0215-08.mp4
D,B,What is the pattern of the person's hand's rotation speed?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,1,Eason rotating hand with decelerating speed,0215-09,['Not moving at all.' 'Decelerating.' 'Constant speed.' 'Accelerating.'],,"What is the pattern of the person's hand's rotation speed?
Options: 
A: Not moving at all.
B: Decelerating.
C: Constant speed.
D: Accelerating. 
Pick the best suited option.",B,videos/human/0215-09.mp4
A,C,What is the pattern of the person's rotation speed?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,2,Eason rotating with accelerating speed,0216-10,['Not moving at all.' 'Decelerating.' 'Accelerating.' 'Constant speed.'],,"What is the pattern of the person's rotation speed?
Options: 
A: Not moving at all.
B: Decelerating.
C: Accelerating.
D: Constant speed. 
Pick the best suited option.",C,videos/human/0216-10.mp4
A,A,What is the pattern of the person's rotation speed?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,0,Eason rotating with decelerating speed,0216-11,['Decelerating.' 'Accelerating.' 'Constant speed.' 'Not moving at all.'],,"What is the pattern of the person's rotation speed?
Options: 
A: Decelerating.
B: Accelerating.
C: Constant speed.
D: Not moving at all. 
Pick the best suited option.",A,videos/human/0216-11.mp4
C,A,What is the pattern of the person's hand's rotation speed?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,0,Eason rotating hand with accelerating speed,0218-10,['Accelerating.' 'Constant speed.' 'Decelerating.' 'Not moving at all.'],,"What is the pattern of the person's hand's rotation speed?
Options: 
A: Accelerating.
B: Constant speed.
C: Decelerating.
D: Not moving at all. 
Pick the best suited option.",A,videos/human/0218-10.mp4
B,A,What is the pattern of the person's hand's rotation speed?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,0,Eason rotating hand with decelerating speed,0218-11,['Decelerating.' 'Accelerating.' 'Constant speed.' 'Not moving at all.'],,"What is the pattern of the person's hand's rotation speed?
Options: 
A: Decelerating.
B: Accelerating.
C: Constant speed.
D: Not moving at all. 
Pick the best suited option.",A,videos/human/0218-11.mp4
D,C,What is the pattern of the person's hand's rotation speed?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,2,Eason rotating hand with accelerating speed,0230-12,['Constant speed.' 'Not moving at all.' 'Accelerating.' 'Decelerating.'],,"What is the pattern of the person's hand's rotation speed?
Options: 
A: Constant speed.
B: Not moving at all.
C: Accelerating.
D: Decelerating. 
Pick the best suited option.",C,videos/human/0230-12.mp4
B,B,What is the pattern of the person's hand's rotation speed?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,1,Eason rotating hand with decelerating speed,0230-13,['Constant speed.' 'Decelerating.' 'Accelerating.' 'Not moving at all.'],,"What is the pattern of the person's hand's rotation speed?
Options: 
A: Constant speed.
B: Decelerating.
C: Accelerating.
D: Not moving at all. 
Pick the best suited option.",B,videos/human/0230-13.mp4
C,B,How does the frequency of clapping change throughout the video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",velocity&frequency,1,Ziyao clapping,0652-00,"['Decreasing gradually then speeds up.' 'Increasing gradually.'
 'Decreasing gradually.' 'Remains Constant.'
 'Increasing gradually then slows down.']",,"How does the frequency of clapping change throughout the video?
Options: 
A: Decreasing gradually then speeds up.
B: Increasing gradually.
C: Decreasing gradually.
D: Remains Constant.
E: Increasing gradually then slows down. 
Pick the best suited option.",B,videos/human/0652-00.mp4
E,B,How does the frequency of clapping change throughout the video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",velocity&frequency,1,Ziyao clapping,0652-01,"['Remains Constant.' 'Decreasing gradually.'
 'Decreasing gradually then speeds up.'
 'Increasing gradually then slows down.' 'Increasing gradually.']",,"How does the frequency of clapping change throughout the video?
Options: 
A: Remains Constant.
B: Decreasing gradually.
C: Decreasing gradually then speeds up.
D: Increasing gradually then slows down.
E: Increasing gradually. 
Pick the best suited option.",B,videos/human/0652-01.mp4
E,A,How does the frequency of clapping change throughout the video?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",velocity&frequency,0,Ziyao clapping,0652-02,"['Increasing gradually then slows down.' 'Remains Constant.'
 'Decreasing gradually.' 'Decreasing gradually then speeds up.'
 'Increasing gradually.']",,"How does the frequency of clapping change throughout the video?
Options: 
A: Increasing gradually then slows down.
B: Remains Constant.
C: Decreasing gradually.
D: Decreasing gradually then speeds up.
E: Increasing gradually. 
Pick the best suited option.",A,videos/human/0652-02.mp4
E,B,How does the frequency of clapping change throughout the video?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",velocity&frequency,1,Ziyao clapping,0652-03,"['Increasing gradually then slows down.'
 'Decreasing gradually then speeds up.' 'Remains Constant.'
 'Increasing gradually.' 'Decreasing gradually.']",,"How does the frequency of clapping change throughout the video?
Options: 
A: Increasing gradually then slows down.
B: Decreasing gradually then speeds up.
C: Remains Constant.
D: Increasing gradually.
E: Decreasing gradually. 
Pick the best suited option.",B,videos/human/0652-03.mp4
D,A,What is the pattern of the camera's movement speed throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 1, 'zoom': 0}",velocity&frequency,0,Ziyao running in hallway,0236-02,['Accelerating.' 'Decelerating.' 'Not moving at all.' 'Constant speed.'],,"What is the pattern of the camera's movement speed throughout the entire video?
Options: 
A: Accelerating.
B: Decelerating.
C: Not moving at all.
D: Constant speed. 
Pick the best suited option.",A,videos/human/0236-02.mp4
C,B,What is the trend in the camera's movement speed across the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 1, 'zoom': 0}",velocity&frequency,1,Ziyao running in hallway,0236-03,['Not moving at all.' 'Decelerating.' 'Constant speed.' 'Accelerating.'],,"What is the trend in the camera's movement speed across the entire video?
Options: 
A: Not moving at all.
B: Decelerating.
C: Constant speed.
D: Accelerating. 
Pick the best suited option.",B,videos/human/0236-03.mp4
A,C,What is the pattern of the camera's movement speed throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 1, 'zoom': 0}",velocity&frequency,2,Ziyao running in hallway,0240-02,['Constant speed.' 'Decelerating.' 'Accelerating.' 'Not moving at all.'],,"What is the pattern of the camera's movement speed throughout the entire video?
Options: 
A: Constant speed.
B: Decelerating.
C: Accelerating.
D: Not moving at all. 
Pick the best suited option.",C,videos/human/0240-02.mp4
B,D,What is the trend in the camera's movement speed across the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 1, 'zoom': 0}",velocity&frequency,3,Ziyao running in hallway,0240-03,['Not moving at all.' 'Constant speed.' 'Accelerating.' 'Decelerating.'],,"What is the trend in the camera's movement speed across the entire video?
Options: 
A: Not moving at all.
B: Constant speed.
C: Accelerating.
D: Decelerating. 
Pick the best suited option.",D,videos/human/0240-03.mp4
D,C,What is the pattern of the camera's movement speed throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 1, 'zoom': 0}",velocity&frequency,2,Ziyao running in hallway,0242-02,['Not moving at all.' 'Constant speed.' 'Accelerating.' 'Decelerating.'],,"What is the pattern of the camera's movement speed throughout the entire video?
Options: 
A: Not moving at all.
B: Constant speed.
C: Accelerating.
D: Decelerating. 
Pick the best suited option.",C,videos/human/0242-02.mp4
C,C,What is the trend in the camera's movement speed across the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 1, 'zoom': 0}",velocity&frequency,2,Ziyao running in hallway,0242-03,['Constant speed.' 'Accelerating.' 'Decelerating.' 'Not moving at all.'],,"What is the trend in the camera's movement speed across the entire video?
Options: 
A: Constant speed.
B: Accelerating.
C: Decelerating.
D: Not moving at all. 
Pick the best suited option.",C,videos/human/0242-03.mp4
D,A,What is the pattern of the camera's movement speed throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 1, 'zoom': 0}",velocity&frequency,0,Ziyao running in hallway,0245-02,['Accelerating.' 'Not moving at all.' 'Decelerating.' 'Constant speed.'],,"What is the pattern of the camera's movement speed throughout the entire video?
Options: 
A: Accelerating.
B: Not moving at all.
C: Decelerating.
D: Constant speed. 
Pick the best suited option.",A,videos/human/0245-02.mp4
B,B,What is the trend in the camera's movement speed across the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 1, 'zoom': 0}",velocity&frequency,1,Ziyao running in hallway,0245-03,['Constant speed.' 'Decelerating.' 'Not moving at all.' 'Accelerating.'],,"What is the trend in the camera's movement speed across the entire video?
Options: 
A: Constant speed.
B: Decelerating.
C: Not moving at all.
D: Accelerating. 
Pick the best suited option.",B,videos/human/0245-03.mp4
C,D,What is the pattern of the camera's movement speed throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 1, 'zoom': 0}",velocity&frequency,3,Ziyao running in hallway,0281-02,['Constant speed.' 'Not moving at all.' 'Decelerating.' 'Accelerating.'],,"What is the pattern of the camera's movement speed throughout the entire video?
Options: 
A: Constant speed.
B: Not moving at all.
C: Decelerating.
D: Accelerating. 
Pick the best suited option.",D,videos/human/0281-02.mp4
A,A,What is the trend in the camera's movement speed across the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 1, 'zoom': 0}",velocity&frequency,0,Ziyao running in hallway,0281-03,['Decelerating.' 'Constant speed.' 'Accelerating.' 'Not moving at all.'],,"What is the trend in the camera's movement speed across the entire video?
Options: 
A: Decelerating.
B: Constant speed.
C: Accelerating.
D: Not moving at all. 
Pick the best suited option.",A,videos/human/0281-03.mp4
B,B,How does the frequency of the hammer's handle striking the floor change throughout the video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,1,Eason using a hammer to hit the ground,0283-00,"['Decreasing gradually.' 'Increasing gradually.'
 'Increasing gradually then slows down.'
 'Decreasing gradually then speeds up.' 'Remains Constant.']",,"How does the frequency of the hammer's handle striking the floor change throughout the video?
Options: 
A: Decreasing gradually.
B: Increasing gradually.
C: Increasing gradually then slows down.
D: Decreasing gradually then speeds up.
E: Remains Constant. 
Pick the best suited option.",B,videos/human/0283-00.mp4
C,D,How does the frequency of the hammer's handle striking the floor change throughout the video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,3,Eason using a hammer to hit the ground,0283-01,"['Decreasing gradually then speeds up.'
 'Increasing gradually then slows down.' 'Increasing gradually.'
 'Decreasing gradually.' 'Remains Constant.']",,"How does the frequency of the hammer's handle striking the floor change throughout the video?
Options: 
A: Decreasing gradually then speeds up.
B: Increasing gradually then slows down.
C: Increasing gradually.
D: Decreasing gradually.
E: Remains Constant. 
Pick the best suited option.",D,videos/human/0283-01.mp4
E,C,How does the rate of the hammer's handle hitting the floor vary throughout the video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,2,Eason using a hammer to hit the ground,0283-02,"['Remains Constant.' 'Increasing gradually.'
 'Increasing gradually then slows down.'
 'Decreasing gradually then speeds up.' 'Decreasing gradually.']",,"How does the rate of the hammer's handle hitting the floor vary throughout the video?
Options: 
A: Remains Constant.
B: Increasing gradually.
C: Increasing gradually then slows down.
D: Decreasing gradually then speeds up.
E: Decreasing gradually. 
Pick the best suited option.",C,videos/human/0283-02.mp4
D,E,How does the rate of the hammer's handle hitting the floor vary throughout the video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,4,Eason using a hammer to hit the ground,0283-03,"['Decreasing gradually.' 'Increasing gradually then slows down.'
 'Remains Constant.' 'Increasing gradually.'
 'Decreasing gradually then speeds up.']",,"How does the rate of the hammer's handle hitting the floor vary throughout the video?
Options: 
A: Decreasing gradually.
B: Increasing gradually then slows down.
C: Remains Constant.
D: Increasing gradually.
E: Decreasing gradually then speeds up. 
Pick the best suited option.",E,videos/human/0283-03.mp4
D,E,How does the frequency of the hammer's handle striking the floor change throughout the video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,4,Eason using a hammer to hit the ground,0305-00,"['Decreasing gradually then speeds up.' 'Remains Constant.'
 'Increasing gradually then slows down.' 'Decreasing gradually.'
 'Increasing gradually.']",,"How does the frequency of the hammer's handle striking the floor change throughout the video?
Options: 
A: Decreasing gradually then speeds up.
B: Remains Constant.
C: Increasing gradually then slows down.
D: Decreasing gradually.
E: Increasing gradually. 
Pick the best suited option.",E,videos/human/0305-00.mp4
C,C,How does the frequency of the hammer's handle striking the floor change throughout the video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,2,Eason using a hammer to hit the ground,0305-01,"['Remains Constant.' 'Decreasing gradually then speeds up.'
 'Decreasing gradually.' 'Increasing gradually.'
 'Increasing gradually then slows down.']",,"How does the frequency of the hammer's handle striking the floor change throughout the video?
Options: 
A: Remains Constant.
B: Decreasing gradually then speeds up.
C: Decreasing gradually.
D: Increasing gradually.
E: Increasing gradually then slows down. 
Pick the best suited option.",C,videos/human/0305-01.mp4
D,B,How does the rate of the hammer's handle hitting the floor vary throughout the video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",velocity&frequency,1,Eason using a hammer to hit the ground,0305-02,"['Decreasing gradually.' 'Increasing gradually then slows down.'
 'Decreasing gradually then speeds up.' 'Increasing gradually.'
 'Remains Constant.']",,"How does the rate of the hammer's handle hitting the floor vary throughout the video?
Options: 
A: Decreasing gradually.
B: Increasing gradually then slows down.
C: Decreasing gradually then speeds up.
D: Increasing gradually.
E: Remains Constant. 
Pick the best suited option.",B,videos/human/0305-02.mp4
