a_pred,a_true,question,demonstration_type,variation,motion_type,answer,note,key,options,video_source_url,question_formatted,answer_formatted,video_name
E,C,In which direction(s) did the person's hand move?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",direction,2,Eason moving hand to the right,0231-04,"['Not moving at all' 'Left.' 'Right.'
 'First to the right then to the left.'
 'First to the left then to the right.']",,"In which direction(s) did the person's hand move?
Options: 
A: Not moving at all
B: Left.
C: Right.
D: First to the right then to the left.
E: First to the left then to the right. 
Pick the best suited option.",C,videos/human/0231-04.mp4
E,E,In which direction(s) did the person's hand move?,human,"{'composite': 1, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",direction,4,Eason moving hand left then right,0231-05,"['Not moving at all' 'Left.' 'Right.'
 'First to the right then to the left.'
 'First to the left then to the right.']",,"In which direction(s) did the person's hand move?
Options: 
A: Not moving at all
B: Left.
C: Right.
D: First to the right then to the left.
E: First to the left then to the right. 
Pick the best suited option.",E,videos/human/0231-05.mp4
D,C,In which direction(s) did the person's hand move?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",direction,2,Eason moving hand to the left,0231-06,"['First to the left then to the right.' 'Right.' 'Left.'
 'First to the right then to the left.' 'Not moving at all']",,"In which direction(s) did the person's hand move?
Options: 
A: First to the left then to the right.
B: Right.
C: Left.
D: First to the right then to the left.
E: Not moving at all 
Pick the best suited option.",C,videos/human/0231-06.mp4
D,D,In which direction(s) did the person's hand move?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",direction,3,Eason moving hand up with markerpen,0234-02,"['Upwards then downwards.' 'Not moving at all' 'Downwards then upwards.'
 'Up.' 'Down.']",,"In which direction(s) did the person's hand move?
Options: 
A: Upwards then downwards.
B: Not moving at all
C: Downwards then upwards.
D: Up.
E: Down. 
Pick the best suited option.",D,videos/human/0234-02.mp4
B,E,In which direction(s) did the person's hand move?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",direction,4,Eason moving hand down with markerpen,0234-03,"['Not moving at all' 'Up.' 'Upwards then downwards.'
 'Downwards then upwards.' 'Down.']",,"In which direction(s) did the person's hand move?
Options: 
A: Not moving at all
B: Up.
C: Upwards then downwards.
D: Downwards then upwards.
E: Down. 
Pick the best suited option.",E,videos/human/0234-03.mp4
B,C,In which direction(s) did the person's hand move?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",direction,2,Eason moving hand to the right,0221-04,"['Not moving at all' 'Left.' 'Right.'
 'First to the left then to the right.'
 'First to the right then to the left.']",,"In which direction(s) did the person's hand move?
Options: 
A: Not moving at all
B: Left.
C: Right.
D: First to the left then to the right.
E: First to the right then to the left. 
Pick the best suited option.",C,videos/human/0221-04.mp4
B,E,In which direction(s) did the person's hand move?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",direction,4,Eason moving hand to the left,0221-05,"['First to the right then to the left.'
 'First to the left then to the right.' 'Right.' 'Not moving at all'
 'Left.']",,"In which direction(s) did the person's hand move?
Options: 
A: First to the right then to the left.
B: First to the left then to the right.
C: Right.
D: Not moving at all
E: Left. 
Pick the best suited option.",E,videos/human/0221-05.mp4
E,A,In which direction(s) did the person's hand move?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",direction,0,Eason moving hand to the right,0223-04,"['Right.' 'First to the right then to the left.' 'Left.'
 'Not moving at all' 'First to the left then to the right.']",,"In which direction(s) did the person's hand move?
Options: 
A: Right.
B: First to the right then to the left.
C: Left.
D: Not moving at all
E: First to the left then to the right. 
Pick the best suited option.",A,videos/human/0223-04.mp4
C,E,In which direction(s) did the person's hand move?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",direction,4,Eason moving hand to the left,0223-05,"['Not moving at all' 'First to the left then to the right.'
 'First to the right then to the left.' 'Right.' 'Left.']",,"In which direction(s) did the person's hand move?
Options: 
A: Not moving at all
B: First to the left then to the right.
C: First to the right then to the left.
D: Right.
E: Left. 
Pick the best suited option.",E,videos/human/0223-05.mp4
D,A,In which direction(s) did the person's hand move?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",direction,0,Eason moving hand to the right with markerpen,0224-04,"['Right.' 'First to the left then to the right.' 'Left.'
 'First to the right then to the left.' 'Not moving at all']",,"In which direction(s) did the person's hand move?
Options: 
A: Right.
B: First to the left then to the right.
C: Left.
D: First to the right then to the left.
E: Not moving at all 
Pick the best suited option.",A,videos/human/0224-04.mp4
