a_pred,a_true,idx,qa_idx,video_name,question_type,question,answer_list,ans,kl,dataset,category,GT,answer_type,permutated_q,bound
A,B,0000,nextqa_02616,videos/nextqa/5918453123.mp4,nextqa,"what did the boy in pink do at the end of the video
A. pass toy to boy
B. talk and eat lollipop
C. throw his hands around and jump
D. touch knee
E. clap hands
Answer with the option's letter from the given choices directly.","['pass toy to boy', 'talk and eat lollipop', 'throw his hands around and jump', 'touch knee', 'clap hands']",B,10.18255966068705,,,,,,
E,A,0001,nextqa_01276,videos/nextqa/3425596660.mp4,nextqa,"what is the man with cap doing while the bald man is answering a call at the beginning
A. drinking
B. claps
C. speak into microphone
D. singing
E. want to snatch the phone
Answer with the option's letter from the given choices directly.","['drinking', 'claps', 'speak into microphone', 'singing', 'want to snatch the phone']",A,7.686959709804701,,,,,,
E,A,0002,nextqa_07036,videos/nextqa/5477272417.mp4,nextqa,"what did the woman do after the man walked away
A. walked away
B. lean on the plant wall
C. walked to camera
D. shift her feet
E. carry plant with her hands
Answer with the option's letter from the given choices directly.","['walked away', 'lean on the plant wall', 'walked to camera', 'shift her feet', 'carry plant with her hands']",A,7.518933886369638,,,,,,
C,E,0003,nextqa_07469,videos/nextqa/9658373642.mp4,nextqa,"what was the dog doing when the boy approached it at the start
A. licking
B. walk towards the cameraman
C. lying down
D. following girl
E. climbing up
Answer with the option's letter from the given choices directly.","['licking', 'walk towards the cameraman', 'lying down', 'following girl', 'climbing up']",E,7.457240111179272,,,,,,
E,A,0004,nextqa_06226,videos/nextqa/4784858772.mp4,nextqa,"what does the woman in black do after the shirtless man walks up the stage in the middle
A. walk away
B. shake his hands
C. pat him on the back
D. play piano
E. take the microphone
Answer with the option's letter from the given choices directly.","['walk away', 'shake his hands', 'pat him on the back', 'play piano', 'take the microphone']",A,7.352245127870377,,,,,,
C,A,0005,nextqa_01041,videos/nextqa/8759410624.mp4,nextqa,"what does the lady do after clapping
A. put the cake aside
B. hug the woman
C. blow
D. happy
E. look at baby
Answer with the option's letter from the given choices directly.","['put the cake aside', 'hug the woman', 'blow', 'happy', 'look at baby']",A,7.083381845821896,,,,,,
B,E,0006,nextqa_02624,videos/nextqa/8224490794.mp4,nextqa,"what did the woman do after the baby bit her fingers near the end of the video
A. touch her feet
B. start claping
C. walk away
D. touch the machines
E. carry baby up
Answer with the option's letter from the given choices directly.","['touch her feet', 'start claping', 'walk away', 'touch the machines', 'carry baby up']",E,7.072556002827449,,,,,,
B,A,0007,nextqa_02995,videos/nextqa/5873037185.mp4,nextqa,"what does the dog do after the lady in front reach out her hand in the middle
A. climb onto lady
B. turn away
C. catch the ball
D. no reaction
E. run to the food
Answer with the option's letter from the given choices directly.","['climb onto lady', 'turn away', 'catch the ball', 'no reaction', 'run to the food']",A,4.256979480581343,,,,,,
E,A,0008,nextqa_04704,videos/nextqa/6097011028.mp4,nextqa,"why did the lady in flower shirt extend her hand near the end of the video
A. shake hands with the lady
B. tries to reach for something
C. turn the frame
D. touch the flag
E. exchange namecards with the lady
Answer with the option's letter from the given choices directly.","['shake hands with the lady', 'tries to reach for something', 'turn the frame', 'touch the flag', 'exchange namecards with the lady']",A,3.8805415539970216,,,,,,
C,B,0009,nextqa_01096,videos/nextqa/3672431760.mp4,nextqa,"what does the dog do after putting down the twig at the end
A. run to the other side
B. lie down
C. get back up
D. look behind
E. open its mouth
Answer with the option's letter from the given choices directly.","['run to the other side', 'lie down', 'get back up', 'look behind', 'open its mouth']",B,3.833271828241962,,,,,,
E,B,0010,nextqa_05883,videos/nextqa/3329878386.mp4,nextqa,"what does the cat do after watching the person in green for a while at the start
A. walk past
B. jump
C. lick the other cat
D. lie down
E. try to catch the hand
Answer with the option's letter from the given choices directly.","['walk past', 'jump', 'lick the other cat', 'lie down', 'try to catch the hand']",B,3.3876591004331167,,,,,,
C,C,0011,nextqa_08339,videos/nextqa/2836465095.mp4,nextqa,"how many people are performing on the stage
A. four
B. nine
C. two
D. six
E. five
Answer with the option's letter from the given choices directly.","['four', 'nine', 'two', 'six', 'five']",C,3.3055843910097495,,,,,,
A,C,0012,nextqa_03889,videos/nextqa/7354297342.mp4,nextqa,"what did the guy do before showing his shirt to the camera
A. plays the guitar
B. wave
C. stop talking
D. jumps
E. smile
Answer with the option's letter from the given choices directly.","['plays the guitar', 'wave', 'stop talking', 'jumps', 'smile']",C,3.2180456091835543,,,,,,
