a_pred,a_true,question,demonstration_type,variation,motion_type,answer,note,key,options,video_source_url,question_formatted,answer_formatted,video_name
C,D,Which direction(s) does the person's hand rotate in?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",rotation,3,Eason rotating hand clockwise,0215-06,"['No rotation.' 'Clockwise then counter-clockwise.'
 'Counter-clockwise then clockwise.' 'Clockwise throughout.'
 'Counter-clockwise throughout.']",,"Which direction(s) does the person's hand rotate in?
Options: 
A: No rotation.
B: Clockwise then counter-clockwise.
C: Counter-clockwise then clockwise.
D: Clockwise throughout.
E: Counter-clockwise throughout. 
Pick the best suited option.",D,videos/human/0215-06.mp4
D,A,Which direction(s) does the person's hand rotate in?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",rotation,0,Eason rotating hand counter-clockwise,0215-07,"['Counter-clockwise throughout.' 'Clockwise throughout.'
 'Clockwise then counter-clockwise.' 'Counter-clockwise then clockwise.'
 'No rotation.']",,"Which direction(s) does the person's hand rotate in?
Options: 
A: Counter-clockwise throughout.
B: Clockwise throughout.
C: Clockwise then counter-clockwise.
D: Counter-clockwise then clockwise.
E: No rotation. 
Pick the best suited option.",A,videos/human/0215-07.mp4
A,D,Which direction(s) does the person rotate in?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",rotation,3,Eason rotating clockwise,0216-08,"['No rotation.' 'Counter-clockwise then clockwise.'
 'Counter-clockwise throughout.' 'Clockwise throughout.'
 'Clockwise then counter-clockwise.']",,"Which direction(s) does the person rotate in?
Options: 
A: No rotation.
B: Counter-clockwise then clockwise.
C: Counter-clockwise throughout.
D: Clockwise throughout.
E: Clockwise then counter-clockwise. 
Pick the best suited option.",D,videos/human/0216-08.mp4
C,E,Which direction(s) does the person rotate in?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",rotation,4,Eason rotating counter-clockwise,0216-09,"['Clockwise throughout.' 'Clockwise then counter-clockwise.'
 'No rotation.' 'Counter-clockwise then clockwise.'
 'Counter-clockwise throughout.']",,"Which direction(s) does the person rotate in?
Options: 
A: Clockwise throughout.
B: Clockwise then counter-clockwise.
C: No rotation.
D: Counter-clockwise then clockwise.
E: Counter-clockwise throughout. 
Pick the best suited option.",E,videos/human/0216-09.mp4
B,E,Which direction(s) does the person's hand rotate in?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",rotation,4,Eason rotating hand counter-clockwise,0218-08,"['Clockwise then counter-clockwise.' 'Counter-clockwise then clockwise.'
 'Clockwise throughout.' 'No rotation.' 'Counter-clockwise throughout.']",,"Which direction(s) does the person's hand rotate in?
Options: 
A: Clockwise then counter-clockwise.
B: Counter-clockwise then clockwise.
C: Clockwise throughout.
D: No rotation.
E: Counter-clockwise throughout. 
Pick the best suited option.",E,videos/human/0218-08.mp4
C,D,Which direction(s) does the person's hand rotate in?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",rotation,3,Eason rotating hand clockwise,0218-09,"['Clockwise then counter-clockwise.' 'Counter-clockwise throughout.'
 'Counter-clockwise then clockwise.' 'Clockwise throughout.'
 'No rotation.']",,"Which direction(s) does the person's hand rotate in?
Options: 
A: Clockwise then counter-clockwise.
B: Counter-clockwise throughout.
C: Counter-clockwise then clockwise.
D: Clockwise throughout.
E: No rotation. 
Pick the best suited option.",D,videos/human/0218-09.mp4
C,C,Which direction(s) does the person's hand rotate in?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",rotation,2,Eason rotating hand counter-clockwise,0230-08,"['Clockwise throughout.' 'Clockwise then counter-clockwise.'
 'Counter-clockwise throughout.' 'No rotation.'
 'Counter-clockwise then clockwise.']",,"Which direction(s) does the person's hand rotate in?
Options: 
A: Clockwise throughout.
B: Clockwise then counter-clockwise.
C: Counter-clockwise throughout.
D: No rotation.
E: Counter-clockwise then clockwise. 
Pick the best suited option.",C,videos/human/0230-08.mp4
C,A,Which direction(s) does the person's hand rotate in?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",rotation,0,Eason rotating hand clockwise,0230-09,"['Clockwise throughout.' 'Counter-clockwise then clockwise.'
 'Clockwise then counter-clockwise.' 'Counter-clockwise throughout.'
 'No rotation.']",,"Which direction(s) does the person's hand rotate in?
Options: 
A: Clockwise throughout.
B: Counter-clockwise then clockwise.
C: Clockwise then counter-clockwise.
D: Counter-clockwise throughout.
E: No rotation. 
Pick the best suited option.",A,videos/human/0230-09.mp4
C,C,Which direction(s) does the person's hand rotate in?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",rotation,2,Chuhan drawing shapes,0621-00,"['Counter-clockwise throughout.' 'No rotation.' 'Clockwise throughout.'
 'Counter-clockwise then clockwise.' 'Clockwise then counter-clockwise.']",,"Which direction(s) does the person's hand rotate in?
Options: 
A: Counter-clockwise throughout.
B: No rotation.
C: Clockwise throughout.
D: Counter-clockwise then clockwise.
E: Clockwise then counter-clockwise. 
Pick the best suited option.",C,videos/human/0621-00.mp4
C,D,Which direction(s) does the person's hand rotate in?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",rotation,3,Chuhan drawing shapes,0621-01,"['No rotation.' 'Counter-clockwise then clockwise.'
 'Clockwise throughout.' 'Counter-clockwise throughout.'
 'Clockwise then counter-clockwise.']",,"Which direction(s) does the person's hand rotate in?
Options: 
A: No rotation.
B: Counter-clockwise then clockwise.
C: Clockwise throughout.
D: Counter-clockwise throughout.
E: Clockwise then counter-clockwise. 
Pick the best suited option.",D,videos/human/0621-01.mp4
C,C,Which direction(s) does the charger rotate in?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",rotation,2,Chuhan rotating charger,0622-00,"['Counter-clockwise then clockwise.' 'Counter-clockwise throughout.'
 'Clockwise throughout.' 'No rotation.'
 'Clockwise then counter-clockwise.']",,"Which direction(s) does the charger rotate in?
Options: 
A: Counter-clockwise then clockwise.
B: Counter-clockwise throughout.
C: Clockwise throughout.
D: No rotation.
E: Clockwise then counter-clockwise. 
Pick the best suited option.",C,videos/human/0622-00.mp4
