video_id,conjugate,caption,distractor_caption,sim_positive,sim_negative,correct
69129230@N00_4096942835_e0dabf9da5.mp4,before,person picks up the ipod before someone turning the dial on their ipod,someone turning the dial on their ipod before person picks up the ipod,0.3987613320350647,0.42532235383987427,False
8485866@N03_8115527004_9e09e5a144.mp4,after,airplane with red body is shown for first time after the camera comes by a ladder,the camera comes by a ladder after airplane with red body is shown for first time,0.3361227214336395,0.34370434284210205,False
14284621@N06_7326456132_82ecae939b.mp4,before,the person picks up a child before camera turns and a table is shown,camera turns and a table is shown before the person picks up a child,0.2987319231033325,0.2706851363182068,True
11699242@N07_8283285682_d1267bb1cc.mp4,before,the man in black kicks the other guy before the person in orange goes down to the ground,the person in orange goes down to the ground before the man in black kicks the other guy,0.3513856530189514,0.3024790287017822,True
34971257@N00_8308949169_b9f78022e5.mp4,before,girl on the left pulls up her sock before we see the girls pink sock for the first time,we see the girls pink sock for the first time before girl on the left pulls up her sock,0.28098100423812866,0.2838444411754608,False
26526176@N00_4020927720_7d41a0c121.mp4,before,the camera moves in and left and right before a man in white with his cap turned backwards is very near the camera,a man in white with his cap turned backwards is very near the camera before the camera moves in and left and right,0.25667786598205566,0.2623603045940399,False
24617858@N00_2816606041_815c7c6273.mp4,before,woman is not walking before woman starts walking,woman starts walking before woman is not walking,0.2953576445579529,0.3073021173477173,False
40074029@N00_4268552461_a3eff20e99.mp4,after,person in blue coat first comes into view after a silver car turns the corner in front of us,a silver car turns the corner in front of us after person in blue coat first comes into view,0.2187342494726181,0.24274729192256927,False
33439178@N00_12280528136_b1d8fa292c.mp4,after,the face of a woman in orange and green is visible for the first time after first time child claps,first time child claps after the face of a woman in orange and green is visible for the first time,0.26464343070983887,0.3023744225502014,False
66139643@N00_11658141126_f61155c380.mp4,before,a white car passes the painters before camera zooms out then man stands on chair,camera zooms out then man stands on chair before a white car passes the painters,0.30816733837127686,0.3621300160884857,False
11591650@N03_4661765808_5de19f61a8.mp4,after,camera first moves to the left just slightly after person raises microphone to mouth and begins talking for the first time,person raises microphone to mouth and begins talking for the first time after camera first moves to the left just slightly,0.26950982213020325,0.3003406226634979,False
26292851@N04_4411824707_0fc385e84f.mp4,before,first time we see a bicycle before woman walks directly in front of camera,woman walks directly in front of camera before first time we see a bicycle,0.2546418607234955,0.2695971727371216,False
11699242@N07_8283285682_d1267bb1cc.mp4,before,the man kicks the other man before the person in orange goes down to the ground,the person in orange goes down to the ground before the man kicks the other man,0.3847920894622803,0.3198712468147278,True
58027470@N00_3260002829_d23bc94271.mp4,before,man on scooter stops before other side of scooter is first shown,other side of scooter is first shown before man on scooter stops,0.23440968990325928,0.2767903804779053,False
70341613@N00_2399837887_1ec0153eff.mp4,before,the camera goes above the rail before man in black walks by from right to left,man in black walks by from right to left before the camera goes above the rail,0.2224440574645996,0.1825353503227234,True
16316293@N00_5050360312_008e6435c7.mp4,after,a band member jumps offstage after person in black enters from right of stage,person in black enters from right of stage after a band member jumps offstage,0.383478581905365,0.374927818775177,True
14284621@N06_6855148077_26c0c80d0a.mp4,before,the car passes a blue sign before the black vehicle reaches and crosses through the intersection,the black vehicle reaches and crosses through the intersection before the car passes a blue sign,0.2693500518798828,0.2689442038536072,True
41086995@N00_6092014330_c1690537d4.mp4,before,four people are visible before the land moves out of picture,the land moves out of picture before four people are visible,0.3169327676296234,0.29933643341064453,True
51167579@N06_9415361624_23b9c39c5f.mp4,after,black numbers 1758 at bottomof train after train first begins to move,train first begins to move after black numbers 1758 at bottomof train,0.24766547977924347,0.28704580664634705,False
60003305@N00_3673970172_8f2a990cce.mp4,before,the camera zooms up before the camera focuses in on part of the camera,the camera focuses in on part of the camera before the camera zooms up,0.341463565826416,0.3387683033943176,True
50719589@N00_2659163803_b562825778.mp4,before,a close up of a woman's face before a man turns to a woman wearing a white shirt,a man turns to a woman wearing a white shirt before a close up of a woman's face,0.3229234516620636,0.28806090354919434,True
86577590@N00_4285687197_218e0fc153.mp4,after,a woman goes down a flight of stairs after woman comes into view,woman comes into view after a woman goes down a flight of stairs,0.44585108757019043,0.3840330243110657,True
72175114@N00_7005462463_640123da53.mp4,after,bicyclist in red and black passes biker in blue after our closest point to the cyclist wearing blue,our closest point to the cyclist wearing blue after bicyclist in red and black passes biker in blue,0.3736196756362915,0.32235702872276306,True
67211380@N00_2866666461_23f0dba6bc.mp4,before,very little water goes up before the water cascasdes to the right,the water cascasdes to the right before very little water goes up,0.2562042772769928,0.27036136388778687,False
34971257@N00_8308998471_f2211a9589.mp4,before,the girl starts to play with her hair before the girls are first further away,the girls are first further away before the girl starts to play with her hair,0.3080415427684784,0.3295293152332306,False
50719589@N00_2718517608_e1e2c67c32.mp4,before,first time woman spins before the girl dances and shake her hair,the girl dances and shake her hair before first time woman spins,0.2705065906047821,0.3385876715183258,False
8485866@N03_6910162653_58ee384276.mp4,before,man in black steps into the center of the track before a person with red sleeves places a car on the track,a person with red sleeves places a car on the track before man in black steps into the center of the track,0.26320546865463257,0.29269927740097046,False
55919472@N00_9023958959_8d5af2e969.mp4,before,green leaf hanging down before tower is in shot,tower is in shot before green leaf hanging down,0.3206647038459778,0.2897500991821289,True
67211380@N00_2420875735_ca183d5763.mp4,before,the actor with white hair takes microphone from the other man before woman in white hat looks to her left then back to the stage,woman in white hat looks to her left then back to the stage before the actor with white hair takes microphone from the other man,0.333630234003067,0.36408254504203796,False
66579708@N00_3034542795_1ffc26f8d1.mp4,after,camera shifts to baby in pink after camera zooms in on baby on the right,camera zooms in on baby on the right after camera shifts to baby in pink,0.3870212733745575,0.4004737138748169,False
10288162@N07_8448571587_222383db1c.mp4,after,a person clapping for a band after we first see a third person on stage,we first see a third person on stage after a person clapping for a band,0.45331937074661255,0.3934737741947174,True
21776013@N06_8604725930_f6f5314798.mp4,before,words are on the screen before cartoons begin to dance to the their left,cartoons begin to dance to the their left before words are on the screen,0.3084843158721924,0.3703075051307678,False
19894250@N00_8425749412_9272eb8671.mp4,before,we see people for the first time before man in black walks out to towards the edge,man in black walks out to towards the edge before we see people for the first time,0.31190407276153564,0.2940065264701843,True
