a_pred,a_true,question,demonstration_type,variation,motion_type,answer,note,key,options,video_source_url,question_formatted,answer_formatted,video_name
D,A,What is the shape of the object that the person drew in the air?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,0,Eason drawing trapezoid with bare hand,0209-04,"['Trapezoid.' 'Diamond.' 'Square/rectangle.' 'Circle.' 'Triangle.'
 'Not drawing at all.']",,"What is the shape of the object that the person drew in the air?
Options: 
A: Trapezoid.
B: Diamond.
C: Square/rectangle.
D: Circle.
E: Triangle.
F: Not drawing at all. 
Pick the best suited option.",A,videos/human/0209-04.mp4
D,C,What is the shape of the object that the person drew in the air?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,2,Eason drawing trapezoid with bare hand,0209-05,"['Square/rectangle.' 'Circle.' 'Trapezoid.' 'Triangle.'
 'Not drawing at all.' 'Diamond.']",,"What is the shape of the object that the person drew in the air?
Options: 
A: Square/rectangle.
B: Circle.
C: Trapezoid.
D: Triangle.
E: Not drawing at all.
F: Diamond. 
Pick the best suited option.",C,videos/human/0209-05.mp4
D,B,What is the trend of the person's hand movement?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,1,Eason moving hand left then right with bare hand,0231-07,"['Left.' 'Left then Right.' 'Right then Left.' 'Right.'
 'Not moving at all.']",,"What is the trend of the person's hand movement?
Options: 
A: Left.
B: Left then Right.
C: Right then Left.
D: Right.
E: Not moving at all. 
Pick the best suited option.",B,videos/human/0231-07.mp4
B,A,What is the shape of the object that the person drew in the air?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,0,Eason drawing triangle with bare hand,0210-04,"['Triangle.' 'Circle.' 'Not drawing at all.' 'Trapezoid.'
 'Square/rectangle.' 'Diamond.']",,"What is the shape of the object that the person drew in the air?
Options: 
A: Triangle.
B: Circle.
C: Not drawing at all.
D: Trapezoid.
E: Square/rectangle.
F: Diamond. 
Pick the best suited option.",A,videos/human/0210-04.mp4
C,F,What is the shape of the object that the person drew in the air?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,5,Eason drawing triangle with bare hand,0210-05,"['Square/rectangle.' 'Trapezoid.' 'Circle.' 'Diamond.'
 'Not drawing at all.' 'Triangle.']",,"What is the shape of the object that the person drew in the air?
Options: 
A: Square/rectangle.
B: Trapezoid.
C: Circle.
D: Diamond.
E: Not drawing at all.
F: Triangle. 
Pick the best suited option.",F,videos/human/0210-05.mp4
D,A,What is the shape of the object that the person drew in the air?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,0,Eason drawing square/rectangle with bare hand,0211-04,"['Square/rectangle.' 'Circle.' 'Trapezoid.' 'Triangle.' 'Diamond.'
 'Not drawing at all.']",,"What is the shape of the object that the person drew in the air?
Options: 
A: Square/rectangle.
B: Circle.
C: Trapezoid.
D: Triangle.
E: Diamond.
F: Not drawing at all. 
Pick the best suited option.",A,videos/human/0211-04.mp4
D,A,What is the shape of the object that the person drew in the air?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,0,Eason drawing square/rectangle with bare hand,0211-05,"['Square/rectangle.' 'Circle.' 'Trapezoid.' 'Triangle.' 'Diamond.'
 'Not drawing at all.']",,"What is the shape of the object that the person drew in the air?
Options: 
A: Square/rectangle.
B: Circle.
C: Trapezoid.
D: Triangle.
E: Diamond.
F: Not drawing at all. 
Pick the best suited option.",A,videos/human/0211-05.mp4
B,F,What is the shape of the object that the person drew in the air?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,5,Eason drawing infinity-shape with bare hand,0212-04,"['Trapezoid.' 'Triangle.' 'Diamond.' 'Circle.' 'Not drawing at all.'
 'Infinity-shape.']",,"What is the shape of the object that the person drew in the air?
Options: 
A: Trapezoid.
B: Triangle.
C: Diamond.
D: Circle.
E: Not drawing at all.
F: Infinity-shape. 
Pick the best suited option.",F,videos/human/0212-04.mp4
E,A,What is the shape of the object that the person drew in the air?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,0,Eason drawing infinity-shape with bare hand,0212-05,"['Infinity-shape.' 'Diamond.' 'Not drawing at all.' 'Trapezoid.' 'Circle.'
 'Triangle.']",,"What is the shape of the object that the person drew in the air?
Options: 
A: Infinity-shape.
B: Diamond.
C: Not drawing at all.
D: Trapezoid.
E: Circle.
F: Triangle. 
Pick the best suited option.",A,videos/human/0212-05.mp4
C,B,What is the shape of the object that the person drew in the air?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",shape&trend,1,Eason drawing diamond with bare hand,0213-04,"['Triangle.' 'Diamond.' 'Circle.' 'Not drawing at all.' 'Trapezoid.'
 'Square/rectangle.']",,"What is the shape of the object that the person drew in the air?
Options: 
A: Triangle.
B: Diamond.
C: Circle.
D: Not drawing at all.
E: Trapezoid.
F: Square/rectangle. 
Pick the best suited option.",B,videos/human/0213-04.mp4
