a_pred,a_true,question,demonstration_type,variation,motion_type,answer,note,key,options,video_source_url,question_formatted,answer_formatted,video_name
B,C,Which musical instrument sounds last?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,2,,0731-00,"['Cello.' 'None of them produces any sound.' 'Flute.' 'Violin.'
 'All instruments sound at the same time.']",,"Which musical instrument sounds last?
Options: 
A: Cello.
B: None of them produces any sound.
C: Flute.
D: Violin.
E: All instruments sound at the same time. 
Pick the best suited option.",C,videos/object/0731-00.mp4
C,D,Which musical instrument plays first?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,3,,0732-00,"['Neither instrument produces any sound.'
 'Both instruments begin simultaneously.' 'Violin.' 'Piano.']",,"Which musical instrument plays first?
Options: 
A: Neither instrument produces any sound.
B: Both instruments begin simultaneously.
C: Violin.
D: Piano. 
Pick the best suited option.",D,videos/object/0732-00.mp4
B,B,Which musical instrument plays first?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,1,,0733-00,"['Neither instrument produces any sound.' 'Guzheng.'
 'Both instruments begin simultaneously.' 'Erhu.']",,"Which musical instrument plays first?
Options: 
A: Neither instrument produces any sound.
B: Guzheng.
C: Both instruments begin simultaneously.
D: Erhu. 
Pick the best suited option.",B,videos/object/0733-00.mp4
D,C,Which instrument plays first?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,2,,0734-00,"['Both instruments begin simultaneously.' 'Banjo.' 'Violin.'
 'Neither instrument produces any sound.']",,"Which instrument plays first?
Options: 
A: Both instruments begin simultaneously.
B: Banjo.
C: Violin.
D: Neither instrument produces any sound. 
Pick the best suited option.",C,videos/object/0734-00.mp4
B,A,Which Guzheng plays first?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,0,,0735-00,"['The right one.' 'Both instruments begin simultaneously.'
 'Neither instrument produces any sound.' 'The left one.']",,"Which Guzheng plays first?
Options: 
A: The right one.
B: Both instruments begin simultaneously.
C: Neither instrument produces any sound.
D: The left one. 
Pick the best suited option.",A,videos/object/0735-00.mp4
C,C,Which ukulele plays the final note?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,2,,0736-00,"['The left one.' 'Both instruments begin simultaneously.' 'The right one.'
 'Neither instrument produces any sound.']",,"Which ukulele plays the final note?
Options: 
A: The left one.
B: Both instruments begin simultaneously.
C: The right one.
D: Neither instrument produces any sound. 
Pick the best suited option.",C,videos/object/0736-00.mp4
C,C,Which musical instrument is the second sounding instrument?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,2,,0737-00,"['Neither instrument produces any sound.' 'Guitar.' 'Trumpet.'
 'Both instruments begin simultaneously.']",,"Which musical instrument is the second sounding instrument?
Options: 
A: Neither instrument produces any sound.
B: Guitar.
C: Trumpet.
D: Both instruments begin simultaneously. 
Pick the best suited option.",C,videos/object/0737-00.mp4
D,B,Which musical instrument plays first?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,1,,0738-00,"['Neither instrument produces any sound.' 'Pipa.' 'Erhu.'
 'Both instruments begin simultaneously.']",,"Which musical instrument plays first?
Options: 
A: Neither instrument produces any sound.
B: Pipa.
C: Erhu.
D: Both instruments begin simultaneously. 
Pick the best suited option.",B,videos/object/0738-00.mp4
B,A,Which ukulele plays the last note?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,0,,0739-00,"['The middle one.' 'The right one.'
 'All instruments sound at the same time.'
 'None of them produces any sound.' 'The left one.']",,"Which ukulele plays the last note?
Options: 
A: The middle one.
B: The right one.
C: All instruments sound at the same time.
D: None of them produces any sound.
E: The left one. 
Pick the best suited option.",A,videos/object/0739-00.mp4
D,B,Which musical instrument is the second sounding instrument?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,1,,0740-00,"['Neither instrument produces any sound.' 'Flute.'
 'Both instruments begin simultaneously.' 'Violin.']",,"Which musical instrument is the second sounding instrument?
Options: 
A: Neither instrument produces any sound.
B: Flute.
C: Both instruments begin simultaneously.
D: Violin. 
Pick the best suited option.",B,videos/object/0740-00.mp4
C,A,Which musical instrument is the second sounding instrument?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,0,,0741-00,"['Cello.' 'Neither instrument produces any sound.' 'Piano.'
 'Both instruments begin simultaneously.']",,"Which musical instrument is the second sounding instrument?
Options: 
A: Cello.
B: Neither instrument produces any sound.
C: Piano.
D: Both instruments begin simultaneously. 
Pick the best suited option.",A,videos/object/0741-00.mp4
B,C,Which musical instrument plays first?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,2,,0742-00,"['Both instruments begin simultaneously.'
 'Neither instrument produces any sound.' 'Ukulele.' 'Guitar.']",,"Which musical instrument plays first?
Options: 
A: Both instruments begin simultaneously.
B: Neither instrument produces any sound.
C: Ukulele.
D: Guitar. 
Pick the best suited option.",C,videos/object/0742-00.mp4
D,A,Which musical instrument finishes the song?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,0,,0743-00,"['Ukulele.' 'Both instruments begin simultaneously.'
 'Neither instrument produces any sound.' 'Clarinet.']",,"Which musical instrument finishes the song?
Options: 
A: Ukulele.
B: Both instruments begin simultaneously.
C: Neither instrument produces any sound.
D: Clarinet. 
Pick the best suited option.",A,videos/object/0743-00.mp4
D,B,Which musical instrument plays first?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,1,,0744-00,"['Both instruments begin simultaneously.' 'Piano.' 'Violin.'
 'Neither instrument produces any sound.']",,"Which musical instrument plays first?
Options: 
A: Both instruments begin simultaneously.
B: Piano.
C: Violin.
D: Neither instrument produces any sound. 
Pick the best suited option.",B,videos/object/0744-00.mp4
B,B,Which musical instrument finishes the song?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,1,,0745-00,"['None of them produces any sound.' 'Cello on the middle.'
 'All instruments sound at the same time.' 'Violin on the left.'
 'Violin on the right.']",,"Which musical instrument finishes the song?
Options: 
A: None of them produces any sound.
B: Cello on the middle.
C: All instruments sound at the same time.
D: Violin on the left.
E: Violin on the right. 
Pick the best suited option.",B,videos/object/0745-00.mp4
C,B,Which musical instrument plays first?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,1,,0746-00,"['Both instruments begin simultaneously.' 'Violin on the right.'
 'Violin on the left.' 'Neither instrument produces any sound.']",,"Which musical instrument plays first?
Options: 
A: Both instruments begin simultaneously.
B: Violin on the right.
C: Violin on the left.
D: Neither instrument produces any sound. 
Pick the best suited option.",B,videos/object/0746-00.mp4
C,D,Which musical instrument plays first?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,3,,0747-00,"['Both instruments begin simultaneously.' 'Cello.'
 'Neither instrument produces any sound.' 'Guitar.']",,"Which musical instrument plays first?
Options: 
A: Both instruments begin simultaneously.
B: Cello.
C: Neither instrument produces any sound.
D: Guitar. 
Pick the best suited option.",D,videos/object/0747-00.mp4
D,D,Who makes the first sound?,object,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 0}",visual cues,3,,0748-00,"['The right one.' 'Both instruments begin simultaneously.'
 'Neither instrument produces any sound.' 'The left one.']",,"Who makes the first sound?
Options: 
A: The right one.
B: Both instruments begin simultaneously.
C: Neither instrument produces any sound.
D: The left one. 
Pick the best suited option.",D,videos/object/0748-00.mp4
