a_pred,a_true,dataset,task,idx,vid
A,A,TVBench/Action Antonym,video/QA,0,action_antonym/S010C003P021R002A020_rgb.avi
B,A,TVBench/Action Antonym,video/QA,1,action_antonym/S010C001P021R002A020_rgb.avi
A,B,TVBench/Action Antonym,video/QA,2,action_antonym/S010C002P021R002A020_rgb.avi
B,B,TVBench/Action Antonym,video/QA,3,action_antonym/S009C001P007R001A020_rgb.avi
B,B,TVBench/Action Antonym,video/QA,4,action_antonym/S009C002P007R001A020_rgb.avi
B,B,TVBench/Action Antonym,video/QA,5,action_antonym/S009C003P007R001A020_rgb.avi
A,B,TVBench/Action Antonym,video/QA,6,action_antonym/S010C001P018R001A020_rgb.avi
A,B,TVBench/Action Antonym,video/QA,7,action_antonym/S010C002P018R001A020_rgb.avi
B,B,TVBench/Action Antonym,video/QA,8,action_antonym/S010C003P018R001A020_rgb.avi
B,A,TVBench/Action Antonym,video/QA,9,action_antonym/S008C001P030R002A020_rgb.avi
B,B,TVBench/Action Antonym,video/QA,10,action_antonym/S008C002P030R002A020_rgb.avi
B,A,TVBench/Action Antonym,video/QA,11,action_antonym/S008C003P030R002A020_rgb.avi
B,A,TVBench/Action Antonym,video/QA,12,action_antonym/S007C001P018R001A020_rgb.avi
B,A,TVBench/Action Antonym,video/QA,13,action_antonym/S007C002P018R001A020_rgb.avi
A,B,TVBench/Action Antonym,video/QA,14,action_antonym/S007C002P018R002A020_rgb.avi
B,B,TVBench/Action Antonym,video/QA,15,action_antonym/S007C003P018R001A020_rgb.avi
B,A,TVBench/Action Antonym,video/QA,16,action_antonym/S007C003P018R002A020_rgb.avi
A,B,TVBench/Action Antonym,video/QA,17,action_antonym/S007C001P018R002A020_rgb.avi
B,B,TVBench/Action Antonym,video/QA,18,action_antonym/S007C003P026R002A020_rgb.avi
A,A,TVBench/Action Antonym,video/QA,19,action_antonym/S007C001P026R002A020_rgb.avi
A,B,TVBench/Action Antonym,video/QA,20,action_antonym/S003C003P016R002A008_rgb.avi
B,A,TVBench/Action Antonym,video/QA,21,action_antonym/S003C001P016R002A008_rgb.avi
B,A,TVBench/Action Antonym,video/QA,22,action_antonym/S003C002P016R002A008_rgb.avi
B,A,TVBench/Action Antonym,video/QA,23,action_antonym/S001C001P003R001A008_rgb.avi
A,B,TVBench/Action Antonym,video/QA,24,action_antonym/S001C002P003R001A008_rgb.avi
B,A,TVBench/Action Antonym,video/QA,25,action_antonym/S001C003P003R001A008_rgb.avi
A,B,TVBench/Action Antonym,video/QA,26,action_antonym/S009C001P007R002A008_rgb.avi
A,B,TVBench/Action Antonym,video/QA,27,action_antonym/S009C002P007R002A008_rgb.avi
A,B,TVBench/Action Antonym,video/QA,28,action_antonym/S009C003P007R002A008_rgb.avi
B,A,TVBench/Action Antonym,video/QA,29,action_antonym/S011C001P038R002A008_rgb.avi
A,B,TVBench/Action Antonym,video/QA,30,action_antonym/S011C002P038R002A008_rgb.avi
A,B,TVBench/Action Antonym,video/QA,31,action_antonym/S011C003P038R002A008_rgb.avi
B,A,TVBench/Action Antonym,video/QA,32,action_antonym/S009C003P007R001A008_rgb.avi
B,A,TVBench/Action Antonym,video/QA,33,action_antonym/S009C001P007R001A008_rgb.avi
A,B,TVBench/Action Antonym,video/QA,34,action_antonym/S009C002P007R001A008_rgb.avi
B,A,TVBench/Action Antonym,video/QA,35,action_antonym/S014C001P007R002A008_rgb.avi
B,A,TVBench/Action Antonym,video/QA,36,action_antonym/S014C002P007R002A008_rgb.avi
A,B,TVBench/Action Antonym,video/QA,37,action_antonym/S014C003P007R002A008_rgb.avi
A,B,TVBench/Action Antonym,video/QA,38,action_antonym/S005C001P010R001A008_rgb.avi
B,A,TVBench/Action Antonym,video/QA,39,action_antonym/S005C002P010R001A008_rgb.avi
B,A,TVBench/Action Antonym,video/QA,40,action_antonym/S005C002P021R002A018_rgb.avi
B,A,TVBench/Action Antonym,video/QA,41,action_antonym/S005C001P021R002A018_rgb.avi
B,A,TVBench/Action Antonym,video/QA,42,action_antonym/S005C003P021R002A018_rgb.avi
B,B,TVBench/Action Antonym,video/QA,43,action_antonym/S012C001P018R001A018_rgb.avi
B,A,TVBench/Action Antonym,video/QA,44,action_antonym/S012C002P018R001A018_rgb.avi
B,A,TVBench/Action Antonym,video/QA,45,action_antonym/S012C003P018R001A018_rgb.avi
B,B,TVBench/Action Antonym,video/QA,46,action_antonym/S008C001P034R001A018_rgb.avi
B,A,TVBench/Action Antonym,video/QA,47,action_antonym/S008C002P034R001A018_rgb.avi
B,A,TVBench/Action Antonym,video/QA,48,action_antonym/S008C003P034R001A018_rgb.avi
B,B,TVBench/Action Antonym,video/QA,49,action_antonym/S007C001P027R001A018_rgb.avi
B,A,TVBench/Action Antonym,video/QA,50,action_antonym/S007C002P027R001A018_rgb.avi
B,B,TVBench/Action Antonym,video/QA,51,action_antonym/S007C003P027R001A018_rgb.avi
B,B,TVBench/Action Antonym,video/QA,52,action_antonym/S009C003P007R002A018_rgb.avi
A,A,TVBench/Action Antonym,video/QA,53,action_antonym/S009C001P007R002A018_rgb.avi
B,B,TVBench/Action Antonym,video/QA,54,action_antonym/S009C002P007R002A018_rgb.avi
B,B,TVBench/Action Antonym,video/QA,55,action_antonym/S009C001P007R001A018_rgb.avi
B,B,TVBench/Action Antonym,video/QA,56,action_antonym/S009C003P007R001A018_rgb.avi
B,B,TVBench/Action Antonym,video/QA,57,action_antonym/S009C002P007R001A018_rgb.avi
B,B,TVBench/Action Antonym,video/QA,58,action_antonym/S015C001P037R002A018_rgb.avi
B,A,TVBench/Action Antonym,video/QA,59,action_antonym/S015C002P037R002A018_rgb.avi
B,A,TVBench/Action Antonym,video/QA,60,action_antonym/S031C003P100R001A062_rgb.avi
B,A,TVBench/Action Antonym,video/QA,61,action_antonym/S031C002P100R001A062_rgb.avi
B,B,TVBench/Action Antonym,video/QA,62,action_antonym/S027C003P081R001A062_rgb.avi
B,A,TVBench/Action Antonym,video/QA,63,action_antonym/S018C002P008R001A062_rgb.avi
A,A,TVBench/Action Antonym,video/QA,64,action_antonym/S031C001P100R001A062_rgb.avi
B,B,TVBench/Action Antonym,video/QA,65,action_antonym/S020C003P053R001A062_rgb.avi
B,A,TVBench/Action Antonym,video/QA,66,action_antonym/S030C003P091R001A062_rgb.avi
A,B,TVBench/Action Antonym,video/QA,67,action_antonym/S018C001P008R001A062_rgb.avi
B,A,TVBench/Action Antonym,video/QA,68,action_antonym/S026C003P075R001A062_rgb.avi
A,B,TVBench/Action Antonym,video/QA,69,action_antonym/S018C003P008R001A062_rgb.avi
B,B,TVBench/Action Antonym,video/QA,70,action_antonym/S030C003P044R001A062_rgb.avi
B,B,TVBench/Action Antonym,video/QA,71,action_antonym/S027C003P079R001A062_rgb.avi
B,A,TVBench/Action Antonym,video/QA,72,action_antonym/S027C003P080R002A062_rgb.avi
B,A,TVBench/Action Antonym,video/QA,73,action_antonym/S021C003P055R001A062_rgb.avi
A,B,TVBench/Action Antonym,video/QA,74,action_antonym/S032C003P105R001A062_rgb.avi
B,B,TVBench/Action Antonym,video/QA,75,action_antonym/S020C003P054R001A062_rgb.avi
A,A,TVBench/Action Antonym,video/QA,76,action_antonym/S032C003P106R001A062_rgb.avi
B,A,TVBench/Action Antonym,video/QA,77,action_antonym/S020C003P008R002A062_rgb.avi
B,B,TVBench/Action Antonym,video/QA,78,action_antonym/S030C003P081R001A062_rgb.avi
B,A,TVBench/Action Antonym,video/QA,79,action_antonym/S032C003P103R001A062_rgb.avi
B,A,TVBench/Action Antonym,video/QA,80,action_antonym/S026C003P049R002A088_rgb.avi
B,B,TVBench/Action Antonym,video/QA,81,action_antonym/S020C003P052R002A088_rgb.avi
B,B,TVBench/Action Antonym,video/QA,82,action_antonym/S021C003P055R001A088_rgb.avi
B,B,TVBench/Action Antonym,video/QA,83,action_antonym/S019C001P049R002A088_rgb.avi
A,A,TVBench/Action Antonym,video/QA,84,action_antonym/S020C003P043R001A088_rgb.avi
B,B,TVBench/Action Antonym,video/QA,85,action_antonym/S028C003P073R002A088_rgb.avi
B,B,TVBench/Action Antonym,video/QA,86,action_antonym/S031C003P042R002A088_rgb.avi
B,B,TVBench/Action Antonym,video/QA,87,action_antonym/S019C002P049R002A088_rgb.avi
B,B,TVBench/Action Antonym,video/QA,88,action_antonym/S019C003P049R002A088_rgb.avi
B,A,TVBench/Action Antonym,video/QA,89,action_antonym/S027C003P085R001A088_rgb.avi
B,B,TVBench/Action Antonym,video/QA,90,action_antonym/S030C003P076R001A088_rgb.avi
B,B,TVBench/Action Antonym,video/QA,91,action_antonym/S026C003P049R001A088_rgb.avi
B,B,TVBench/Action Antonym,video/QA,92,action_antonym/S020C003P052R001A088_rgb.avi
