sent0,sent1,hard_neg,source,sent0-verbobj,sent1-verbobj,hard_neg-verbobj
well now that's the card see,That is the card involved. ,"That's not the card, a different card is involved.",nli,,,
An older man drinks from a wineglass.,A man is drinking from a wineglass.,A young woman eats from a plate.,nli,,,
oh certainly there's a message there even if they lose,Even if they have lost there is still a message within.,They were so happy to have won.,nli,,,
"Adults and children alike will appreciate the hanging cliffs and pleasant countryside of meadows, vineyards, and orchards, with graceful willows and poplars at the water's edge.",Both children and adults will like the beautiful natural features.,Children will absolutely detest this area's features.,nli,,,
A group of performers sing a song.,The performers are singing.,The performers are painting pictures.,nli,,,
"Two Watergate vets  Charles W. Colson says impeach him; John Dean says don't, because Congress has been too partisan and unfair.",John Dean doesn't want an impeachment.,John Dean says to impeach him because Congress has been more than fair.,nli,,,
Four people collaborate on repairing a bicycle.,Four people are having a discussion about repairing a bicycle.,Two men are chasing a man on a bike.,nli,,,
A brown dog with its front paws off the ground on a grassy surface near red and purple flowers.,The dog is near the flowers.,The cat is playing near the flowers.,nli,,,
There are a dozen construction workers unloading the materials from the truck.,Workers are unloading something from the truck.,A dozen construction workers are stuck in traffic on a bridge.,nli,,,
Three surfers walking on the beach,The surfers are outside.,The surfers are wearing jeans and sitting around a table.,nli,,,
Man falling off a blue surfboard in the ocean.,Man is outside.,The man is at church.,nli,,,
a man holds a toddler on a board over a pool.,A man is holding a toddler on a board.,A toddler is swimming in a pool unattended.,nli,,,
"To attain the art of a Sather is the work of a score of centuries, usually.""  That Sather had been in sad shape, it seemed.","""It takes hundreds of years to become a Sather.""","""Becoming a Sather is usually achieved in an afternoon.""",nli,,,
Man in green shirt pulling two pumpkin pies from the oven.,a man is wearing green,a man is taking a photo of a shark while deep sea diving,nli,,,
Above the arches you'll see the ,You can see it over the arches.,You have to look below the arches to see it.,nli,,,
a young blond boy smiling standing on a staircase,There's a blond kid smiling on the staircase.,A young blond boy runs up the stairs screaming.,nli,,,
so yeah we're getting replenished and so there is uh when i first came here everything was yellow the grass was dead everywhere,When I got here the grass was dead.,When I first got here the grass was green and healthy. ,nli,,,
"Relative to other European countries, many consumer goods remain somewhat cheaper in Portugal.",Portugal maintains relatively low consumer good pricing.,Portuguese consumer goods are very expensive.,nli,,,
A group of people are sitting around a campfire at night.,There are people having a campfire in their backyard.,Everyone is sleeping in tonight.,nli,,,
"Construction worker in orange safety vests and white safety hats, cleaning a window, while standing on a steel platform.",The worker has a white hat,The worker has a blue hat,nli,,,
A young couple kissing by a bike rake.,There are people showing affection.,The people are sleeping.,nli,,,
A brown dog with large ears is shaking its self while standing on sand.,A brown dog is not standing still,A cat is standing on sand,nli,,,
The retriever is swimming out to the goose who is about to get away.,A goose is escaping away from a dog.,A goose is chasing a dog.,nli,,,
A man in a blue bodysuit surfing.,There is a man surfing.,There is a woman surfing.,nli,,,
A priest is holding a bible in a Church with children with a girl next to him in a Choir girls outfit.,A religious leader in a religious building with a child helper attending them.,A priest is holding a cross in a Church with children with a girl next to him in a nun's habit.,nli,,,
well yeah and to some extent uh utilities i imagine,"Utilities are probably included, too.",You can't include utilities.,nli,,,
A group of friends sharing secrets by a pond.,People are by a pond.,A person sits alone beside a creek.,nli,,,
I don't think she's in any immediate danger.,I'm not certain whether she's in danger or not.,He was completely certain that she wasn't safe.,nli,,,
"A man breathing fire, obscured by a fence.",A man is breathing fire.,A man is jumping off a cliff.,nli,,,
