video_id,conjugate,caption,distractor_caption,sim_positive,sim_negative,correct
69129230@N00_4096942835_e0dabf9da5.mp4,before,person picks up the ipod before someone turning the dial on their ipod,someone turning the dial on their ipod before person picks up the ipod,0.5087659955024719,0.4069662094116211,True
8485866@N03_8115527004_9e09e5a144.mp4,after,airplane with red body is shown for first time after the camera comes by a ladder,the camera comes by a ladder after airplane with red body is shown for first time,0.34106120467185974,0.38291409611701965,False
14284621@N06_7326456132_82ecae939b.mp4,before,the person picks up a child before camera turns and a table is shown,camera turns and a table is shown before the person picks up a child,0.09027378261089325,0.09777356684207916,False
11699242@N07_8283285682_d1267bb1cc.mp4,before,the man in black kicks the other guy before the person in orange goes down to the ground,the person in orange goes down to the ground before the man in black kicks the other guy,0.3218460977077484,0.26001593470573425,True
34971257@N00_8308949169_b9f78022e5.mp4,before,girl on the left pulls up her sock before we see the girls pink sock for the first time,we see the girls pink sock for the first time before girl on the left pulls up her sock,0.2923010587692261,0.34999918937683105,False
26526176@N00_4020927720_7d41a0c121.mp4,before,the camera moves in and left and right before a man in white with his cap turned backwards is very near the camera,a man in white with his cap turned backwards is very near the camera before the camera moves in and left and right,0.27607837319374084,0.2533252239227295,True
24617858@N00_2816606041_815c7c6273.mp4,before,woman is not walking before woman starts walking,woman starts walking before woman is not walking,0.2820439338684082,0.28658968210220337,False
40074029@N00_4268552461_a3eff20e99.mp4,after,person in blue coat first comes into view after a silver car turns the corner in front of us,a silver car turns the corner in front of us after person in blue coat first comes into view,0.1688506007194519,0.23253288865089417,False
33439178@N00_12280528136_b1d8fa292c.mp4,after,the face of a woman in orange and green is visible for the first time after first time child claps,first time child claps after the face of a woman in orange and green is visible for the first time,0.32046785950660706,0.22171705961227417,True
66139643@N00_11658141126_f61155c380.mp4,before,a white car passes the painters before camera zooms out then man stands on chair,camera zooms out then man stands on chair before a white car passes the painters,0.4292028546333313,0.42144662141799927,True
11591650@N03_4661765808_5de19f61a8.mp4,after,camera first moves to the left just slightly after person raises microphone to mouth and begins talking for the first time,person raises microphone to mouth and begins talking for the first time after camera first moves to the left just slightly,0.26310503482818604,0.27172690629959106,False
26292851@N04_4411824707_0fc385e84f.mp4,before,first time we see a bicycle before woman walks directly in front of camera,woman walks directly in front of camera before first time we see a bicycle,0.1528523564338684,0.10828991234302521,True
11699242@N07_8283285682_d1267bb1cc.mp4,before,the man kicks the other man before the person in orange goes down to the ground,the person in orange goes down to the ground before the man kicks the other man,0.2506687641143799,0.23655591905117035,True
58027470@N00_3260002829_d23bc94271.mp4,before,man on scooter stops before other side of scooter is first shown,other side of scooter is first shown before man on scooter stops,0.39196860790252686,0.35663777589797974,True
70341613@N00_2399837887_1ec0153eff.mp4,before,the camera goes above the rail before man in black walks by from right to left,man in black walks by from right to left before the camera goes above the rail,0.267152339220047,0.1995246708393097,True
16316293@N00_5050360312_008e6435c7.mp4,after,a band member jumps offstage after person in black enters from right of stage,person in black enters from right of stage after a band member jumps offstage,0.3124969005584717,0.3191305100917816,False
14284621@N06_6855148077_26c0c80d0a.mp4,before,the car passes a blue sign before the black vehicle reaches and crosses through the intersection,the black vehicle reaches and crosses through the intersection before the car passes a blue sign,0.40334779024124146,0.3983765244483948,True
41086995@N00_6092014330_c1690537d4.mp4,before,four people are visible before the land moves out of picture,the land moves out of picture before four people are visible,0.38616472482681274,0.2614772915840149,True
51167579@N06_9415361624_23b9c39c5f.mp4,after,black numbers 1758 at bottomof train after train first begins to move,train first begins to move after black numbers 1758 at bottomof train,0.43271222710609436,0.41522711515426636,True
60003305@N00_3673970172_8f2a990cce.mp4,before,the camera zooms up before the camera focuses in on part of the camera,the camera focuses in on part of the camera before the camera zooms up,0.42261645197868347,0.44290369749069214,False
50719589@N00_2659163803_b562825778.mp4,before,a close up of a woman's face before a man turns to a woman wearing a white shirt,a man turns to a woman wearing a white shirt before a close up of a woman's face,0.2952548861503601,0.1823314130306244,True
86577590@N00_4285687197_218e0fc153.mp4,after,a woman goes down a flight of stairs after woman comes into view,woman comes into view after a woman goes down a flight of stairs,0.3973427414894104,0.41679906845092773,False
72175114@N00_7005462463_640123da53.mp4,after,bicyclist in red and black passes biker in blue after our closest point to the cyclist wearing blue,our closest point to the cyclist wearing blue after bicyclist in red and black passes biker in blue,0.43947380781173706,0.519192099571228,False
67211380@N00_2866666461_23f0dba6bc.mp4,before,very little water goes up before the water cascasdes to the right,the water cascasdes to the right before very little water goes up,0.23966671526432037,0.3201691210269928,False
34971257@N00_8308998471_f2211a9589.mp4,before,the girl starts to play with her hair before the girls are first further away,the girls are first further away before the girl starts to play with her hair,0.4310724139213562,0.39636683464050293,True
50719589@N00_2718517608_e1e2c67c32.mp4,before,first time woman spins before the girl dances and shake her hair,the girl dances and shake her hair before first time woman spins,0.23069924116134644,0.3442010283470154,False
8485866@N03_6910162653_58ee384276.mp4,before,man in black steps into the center of the track before a person with red sleeves places a car on the track,a person with red sleeves places a car on the track before man in black steps into the center of the track,0.2290349006652832,0.2612179219722748,False
55919472@N00_9023958959_8d5af2e969.mp4,before,green leaf hanging down before tower is in shot,tower is in shot before green leaf hanging down,0.37991976737976074,0.400501012802124,False
67211380@N00_2420875735_ca183d5763.mp4,before,the actor with white hair takes microphone from the other man before woman in white hat looks to her left then back to the stage,woman in white hat looks to her left then back to the stage before the actor with white hair takes microphone from the other man,0.45416712760925293,0.43762636184692383,True
66579708@N00_3034542795_1ffc26f8d1.mp4,after,camera shifts to baby in pink after camera zooms in on baby on the right,camera zooms in on baby on the right after camera shifts to baby in pink,0.519824743270874,0.5150166749954224,True
10288162@N07_8448571587_222383db1c.mp4,after,a person clapping for a band after we first see a third person on stage,we first see a third person on stage after a person clapping for a band,0.40394920110702515,0.37913620471954346,True
21776013@N06_8604725930_f6f5314798.mp4,before,words are on the screen before cartoons begin to dance to the their left,cartoons begin to dance to the their left before words are on the screen,0.42320409417152405,0.45089709758758545,False
19894250@N00_8425749412_9272eb8671.mp4,before,we see people for the first time before man in black walks out to towards the edge,man in black walks out to towards the edge before we see people for the first time,0.27890342473983765,0.18035359680652618,True
14284621@N06_7326456132_82ecae939b.mp4,after,man in tuxedo vest is shown after the person picks up a child,the person picks up a child after man in tuxedo vest is shown,0.0951143279671669,0.14763081073760986,False
8485866@N03_8115527004_9e09e5a144.mp4,before,the camera comes by a ladder before a red jet is at end of ship,a red jet is at end of ship before the camera comes by a ladder,0.3534501791000366,0.36132293939590454,False
67211380@N00_2420875735_ca183d5763.mp4,after,the guy is spinning the whip around after the actor with white hair takes microphone from the other man,the actor with white hair takes microphone from the other man after the guy is spinning the whip around,0.3856211304664612,0.2888544201850891,True
95033136@N00_4682594380_93daa7a985.mp4,before,the panda climbs to the top of the rock before panda sits down,panda sits down before the panda climbs to the top of the rock,0.4909464120864868,0.476601243019104,True
51727341@N00_4913494887_25ba94c153.mp4,after,the person's red shirt first becomes not visible after person in bright red shirt can be seen,person in bright red shirt can be seen after the person's red shirt first becomes not visible,0.17852604389190674,0.12492481619119644,True
21776013@N06_8204542114_e3a2a99dc9.mp4,before,woman begins dancing before logo on screen,logo on screen before woman begins dancing,0.39224720001220703,0.35433897376060486,True
66139643@N00_9386338617_042c7550f1.mp4,before,camera zooms right when a table with white objects on it appear in the camera before bright red graffiti can be seen,bright red graffiti can be seen before camera zooms right when a table with white objects on it appear in the camera,0.477272093296051,0.5428897738456726,False
24409978@N00_5757090618_3ff0ff51c7.mp4,after,a silver mini-van leaves the scene after we first see a silver van,we first see a silver van after a silver mini-van leaves the scene,0.39294910430908203,0.3874702453613281,True
16930146@N05_3839594916_ee7d67ec52.mp4,after,a parade of people in purple carrying something passes after boy wearing tie die shirt is clapping with arms in the air,boy wearing tie die shirt is clapping with arms in the air after a parade of people in purple carrying something passes,0.18958619236946106,0.4634675979614258,False
25133870@N00_4978496042_940ba7d578.mp4,after,a man holding up a pamphlet in front of a building after camera pans left to show man with a map,camera pans left to show man with a map after a man holding up a pamphlet in front of a building,0.39019763469696045,0.3527078926563263,True
26988100@N00_5000716657_397877c59c.mp4,before,a woman in a green and white shirt appears before the camera pans backwards,the camera pans backwards before a woman in a green and white shirt appears,0.20033565163612366,0.2303457260131836,False
52198061@N00_3835967049_a5c6f47164.mp4,before,man in view starts juggling then drops one before man points at camera with one hand and walks towards it,man points at camera with one hand and walks towards it before man in view starts juggling then drops one,0.2307758778333664,0.26757749915122986,False
8668089@N08_2918190657_d53f6922ae.mp4,before,camera pans right from beach chairs to ocean before the camera is only on water for frame,the camera is only on water for frame before camera pans right from beach chairs to ocean,0.5286678075790405,0.5406454801559448,False
24617858@N00_2816606041_815c7c6273.mp4,before,woman turns around and starts walking before woman starts walking,woman starts walking before woman turns around and starts walking,0.34288567304611206,0.340689480304718,True
42872607@N00_3216722391_531cfb839b.mp4,before,cat walks to one end of the door and than back again before camera zooms in on cat,camera zooms in on cat before cat walks to one end of the door and than back again,0.3793005347251892,0.37343496084213257,True
61886413@N00_3830573270_a08e013fe2.mp4,before,the man grabs something off of table before the camera first reaches the opposite end of the man,the camera first reaches the opposite end of the man before the man grabs something off of table,0.16329771280288696,0.1459248661994934,True
61509440@N00_3685734859_c34a41660b.mp4,before,something starts to enter view on right before a bald spot zooms by,a bald spot zooms by before something starts to enter view on right,0.16407795250415802,0.20644958317279816,False
33439178@N00_12280528136_b1d8fa292c.mp4,before,first time child claps before a woman wearing a green and yellow shirt shows her face for the first time,a woman wearing a green and yellow shirt shows her face for the first time before first time child claps,0.27920499444007874,0.2375834435224533,True
11699242@N07_9610063813_021d0a929a.mp4,after,a person in a bright red shirt walks by after the man sits back in his chair,the man sits back in his chair after a person in a bright red shirt walks by,0.22700057923793793,0.13723252713680267,True
19323926@N00_3586691469_f1eb98c5b7.mp4,after,person wearing white shirt and blue shorts enter the frame dancing after neither babys' faces are visible at the beginning of the video,neither babys' faces are visible at the beginning of the video after person wearing white shirt and blue shorts enter the frame dancing,0.34279218316078186,0.2753868103027344,True
8485866@N03_2652909308_2cf69b5b15.mp4,before,cat walks underneath the persons legs before cat kissing her pants,cat kissing her pants before cat walks underneath the persons legs,0.42568540573120117,0.43966203927993774,False
25654955@N03_6284837116_f2dc6d8509.mp4,before,first strike with the shovel before a person in white walks up and behind the man digging,a person in white walks up and behind the man digging before first strike with the shovel,0.3016465902328491,0.31860703229904175,False
19323926@N00_3626701920_228d7c030f.mp4,after,a woman puts a baby over her shoulder after a baby sticks his hand in the water then puts it to his mouth,a baby sticks his hand in the water then puts it to his mouth after a woman puts a baby over her shoulder,0.37852537631988525,0.3108033835887909,True
55455788@N00_10855991194_487e7b96a0.mp4,before,the pigs first begin racing before pig in the red shirt rounds the curve,pig in the red shirt rounds the curve before the pigs first begin racing,0.42189234495162964,0.3742292523384094,True
55455788@N00_10855991194_487e7b96a0.mp4,after,focused on the pigs after pig in the red shirt rounds the curve,pig in the red shirt rounds the curve after focused on the pigs,0.38606011867523193,0.3948352336883545,False
