a_pred,a_true,question,demonstration_type,variation,motion_type,answer,note,key,options,video_source_url,question_formatted,answer_formatted,video_name
B,C,How many trapezoid(s) does the person draw in the air throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,2,Eason drawing trapezoid,0209-03,['2' '1' '3' '4' '5' '0'],,"How many trapezoid(s) does the person draw in the air throughout the entire video?
Options: 
A: 2
B: 1
C: 3
D: 4
E: 5
F: 0 
Pick the best suited option.",C,videos/human/0209-03.mp4
F,C,How many triangle(s) does the person draw in the air throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,2,Eason drawing triangle,0210-03,['3' '5' '4' '1' '2' '0'],,"How many triangle(s) does the person draw in the air throughout the entire video?
Options: 
A: 3
B: 5
C: 4
D: 1
E: 2
F: 0 
Pick the best suited option.",C,videos/human/0210-03.mp4
B,D,How many square(s) does the person draw in the air throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,3,Eason drawing square,0211-03,['1' '0' '3' '2' '5' '4'],,"How many square(s) does the person draw in the air throughout the entire video?
Options: 
A: 1
B: 0
C: 3
D: 2
E: 5
F: 4 
Pick the best suited option.",D,videos/human/0211-03.mp4
B,D,How many infinity-shaped curve(s) does the person draw in the air throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,3,Eason drawing infinity-shaped curve,0212-03,['1' '0' '6' '7' '2' '4'],,"How many infinity-shaped curve(s) does the person draw in the air throughout the entire video?
Options: 
A: 1
B: 0
C: 6
D: 7
E: 2
F: 4 
Pick the best suited option.",D,videos/human/0212-03.mp4
C,A,How many diamond shape(s) does the person draw in the air throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,0,Eason drawing diamond,0213-03,['3' '0' '1' '5' '4' '2'],,"How many diamond shape(s) does the person draw in the air throughout the entire video?
Options: 
A: 3
B: 0
C: 1
D: 5
E: 4
F: 2 
Pick the best suited option.",A,videos/human/0213-03.mp4
D,E,How many figure-eight shape(s) does the person draw in the air throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,4,Eason drawing figure-eight,0214-03,['2' '3' '0' '1' '6' '5'],,"How many figure-eight shape(s) does the person draw in the air throughout the entire video?
Options: 
A: 2
B: 3
C: 0
D: 1
E: 6
F: 5 
Pick the best suited option.",E,videos/human/0214-03.mp4
E,B,How many circle(s)) does the person draw in the air throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,1,Eason drawing circle,0215-05,['5' '6' '3' '2' '0' '1'],,"How many circle(s)) does the person draw in the air throughout the entire video?
Options: 
A: 5
B: 6
C: 3
D: 2
E: 0
F: 1 
Pick the best suited option.",B,videos/human/0215-05.mp4
F,A,How many spin(s) does the person make throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,0,Eason spinning,0216-06,['4' '5' '3' '1' '2' '0'],,"How many spin(s) does the person make throughout the entire video?
Options: 
A: 4
B: 5
C: 3
D: 1
E: 2
F: 0 
Pick the best suited option.",A,videos/human/0216-06.mp4
D,F,How many spin(s) does the person make throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,5,Eason spinning,0216-07,['5' '1' '3' '0' '2' '4'],,"How many spin(s) does the person make throughout the entire video?
Options: 
A: 5
B: 1
C: 3
D: 0
E: 2
F: 4 
Pick the best suited option.",F,videos/human/0216-07.mp4
C,F,How many circle(s)) does the person's hand trace in the air throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,5,Eason tracing circle(s),0218-06,['5' '0' '1' '7' '3' '8'],,"How many circle(s)) does the person's hand trace in the air throughout the entire video?
Options: 
A: 5
B: 0
C: 1
D: 7
E: 3
F: 8 
Pick the best suited option.",F,videos/human/0218-06.mp4
F,D,How many circle(s)) does the person's hand trace in the air throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,3,Eason tracing circle(s),0218-07,['4' '2' '0' '3' '5' '1'],,"How many circle(s)) does the person's hand trace in the air throughout the entire video?
Options: 
A: 4
B: 2
C: 0
D: 3
E: 5
F: 1 
Pick the best suited option.",D,videos/human/0218-07.mp4
A,F,How many times does the person swing their hand upward throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,5,Eason swinging hand upward,0220-01,['1' '3' '2' '4' '0' '5'],,"How many times does the person swing their hand upward throughout the entire video?
Options: 
A: 1
B: 3
C: 2
D: 4
E: 0
F: 5 
Pick the best suited option.",F,videos/human/0220-01.mp4
B,E,How many times does the person swing their hand to the right throughout the entire video?,human,"{'composite': 0, 'counterfactual': 0, 'first_person': 0, 'zoom': 1}",count,4,Eason swinging hand to the right,0221-03,['2' '0' '1' '5' '6' '4'],,"How many times does the person swing their hand to the right throughout the entire video?
Options: 
A: 2
B: 0
C: 1
D: 5
E: 6
F: 4 
Pick the best suited option.",E,videos/human/0221-03.mp4
